security_id;position_date;quantity;market_value_local;source_file;source_row_number;_ingested_at
SEC0001;2026-01-31;32800;6205920.00;positions_20260131.csv;1;2026-01-31T20:00:00Z
SEC0002;2026-01-31;6300;2518425.00;positions_20260131.csv;2;2026-01-31T20:00:00Z
SEC0003;2026-01-31;800;83640.00;positions_20260131.csv;3;2026-01-31T20:00:00Z
SEC0004;2026-01-31;23000;48530.00;positions_20260131.csv;4;2026-01-31T20:00:00Z
SEC0005;2026-01-31;300000;299700000.00;positions_20260131.csv;5;2026-01-31T20:00:00Z
SEC0006;2026-01-31;200000;20240000.00;positions_20260131.csv;6;2026-01-31T20:00:00Z
SEC0007;2026-01-31;20000;638000.00;positions_20260131.csv;7;2026-01-31T20:00:00Z
SEC0008;2026-01-31;100000;98200000.00;positions_20260131.csv;8;2026-01-31T20:00:00Z
SEC0009;2026-01-31;2000;5541000.00;positions_20260131.csv;9;2026-01-31T20:00:00Z
SEC0010;2026-01-31;4500;533000.00;positions_20260131.csv;10;2026-01-31T20:00:00Z
SEC0011;2026-01-31;1;4500000.00;positions_20260131.csv;11;2026-01-31T20:00:00Z
SEC0012;2026-01-31;50000;50525000.00;positions_20260131.csv;12;2026-01-31T20:00:00Z
SEC0013;2026-01-31;30000;2928000.00;positions_20260131.csv;13;2026-01-31T20:00:00Z
SEC0014;2026-01-31;4000;712800.00;positions_20260131.csv;14;2026-01-31T20:00:00Z
