trade_id,trade_date,security_id,side,quantity,price,trade_currency,version,last_updated_ts,source_file,source_row_number,_ingested_at
TRD100015,2026-01-31,SEC0001,SELL,2000,189.10,USD,1,2026-01-31T15:58:02Z,trades_20260131.csv,1,2026-01-31T17:00:00Z
TRD100016,2026-01-31,SEC0002,BUY,500,399.75,USD,1,2026-01-31T16:01:19Z,trades_20260131.csv,2,2026-01-31T17:00:00Z
TRD100017,2026-01-31,SEC0004,BUY,8000,2.11,GBP,1,2026-01-31T16:04:40Z,trades_20260131.csv,3,2026-01-31T17:00:00Z
TRD100018,2026-01-31,SEC0005,SELL,100000,99.90,USD,1,2026-01-31T16:07:15Z,trades_20260131.csv,4,2026-01-31T17:00:00Z
TRD100019,2026-01-31,SEC0007,SELL,20000,31.90,BRL,1,2026-01-31T16:10:33Z,trades_20260131.csv,5,2026-01-31T17:00:00Z
TRD100020,2026-01-31,SEC0009,BUY,1000,2770.50,JPY,1,2026-01-31T16:13:02Z,trades_20260131.csv,6,2026-01-31T17:00:00Z
TRD100021,2026-01-31,SEC0014,BUY,4000,178.20,EUR,1,2026-01-31T16:16:47Z,trades_20260131.csv,7,2026-01-31T17:00:00Z
TRD100022,2026-01-31,SEC0010,SELL,1500,119.02,USD,1,2026-01-31T16:19:58Z,trades_20260131.csv,8,2026-01-31T17:00:00Z
TRD100022,2026-01-31,SEC0010,SELL,1500,119.02,USD,1,2026-01-31T16:19:58Z,trades_20260131.csv,9,2026-01-31T17:00:00Z
TRD100001,2026-01-30,SEC0001,BUY,4800,187.32,USD,2,2026-01-31T09:12:00Z,trades_20260131.csv,10,2026-01-31T17:00:00Z
TRD100023,2026-01-31,SEC0006,BUY,50000,101.20,EUR,1,2026-01-31T16:25:10Z,trades_20260131.csv,11,2026-01-31T17:00:00Z
TRD100024,2026-01-31,SEC0015,SELL,2000,0.85,USD,1,2026-01-31T16:28:44Z,trades_20260131.csv,12,2026-01-31T17:00:00Z
